epoch,train_loss,val_loss,val_dice,val_iou
1,1.333566216929471,1.2492522709611533,0.41639402508735657,0.2738010267848554
2,1.16169292447255,1.0661635917166006,0.4652452731262083,0.31461229456075723
3,1.0562703052899756,1.01436516167461,0.4936135981393897,0.3400177233245062
4,1.0032387532787292,0.9430822894193124,0.4989984228775121,0.34676741149978363
5,0.9575528472613826,0.9256115452102993,0.5260078384392504,0.37109198907147284
6,0.9219900306091555,0.9066400735274606,0.5342740589293881,0.3766933806996415
7,0.8952647046049115,0.9131494933280392,0.53071613760962,0.3750892106065716
8,0.8642412318166508,0.8524092720902484,0.5506453980570254,0.39534017789191095
9,0.8471717847472053,0.9158813240735427,0.542164519213248,0.3851425824821859
10,0.8084717989449355,0.9058972001075745,0.5382772282413815,0.3844541677314302
11,0.7886819161101574,0.8771316659623298,0.5635728252970654,0.40543106867783313
12,0.7650670769334031,0.8936086154502371,0.5534638997869216,0.3977575356113738
13,0.7475316738273485,0.931193708077721,0.5566452221162077,0.4000600725412369
14,0.7235856684517591,0.9109298915102861,0.5572304963201716,0.40245848451403604
15,0.6899388755080388,0.9208925202272941,0.5740071573983068,0.41497720151707745
16,0.6752770807178803,0.9658465169478154,0.5540916643280914,0.39891901644675626
17,0.6319392390898241,0.9044762707274893,0.5610491380743359,0.4063502288814904
18,0.6159277578307276,1.002091713141704,0.5440007862837418,0.3887251287266828
19,0.5999991477546861,0.9123662757700768,0.5766854199810304,0.4200776703115823
20,0.5712249029385639,0.9693663837253184,0.5729154223117275,0.41695994786594226
21,0.5530729022280273,0.9574439938085667,0.5717149536678756,0.4157751351594925
22,0.5298502946901399,1.0455357812453008,0.5706001213495282,0.41292623743630835
23,0.5136447403706333,1.0409983806851981,0.5667115409953006,0.4094153866711734
24,0.49396940744414275,1.0198419215022654,0.5629347172984178,0.4081111219374166
25,0.47780398585155054,1.0510851831539818,0.5672487545272579,0.4109878962778527
26,0.47110885033844363,1.0243896561256354,0.5650227374356726,0.4095703773740409
27,0.4624267724344149,1.1076065980005956,0.5678354777071787,0.4114207204269326
28,0.45762257723315275,1.0839335363412248,0.5711488149304321,0.4131266288999198
29,0.4594152569048624,1.1173471424026766,0.5677482345397922,0.4107789626156074
30,0.454240447485004,1.0790251420027968,0.5677642362273257,0.41044627081440843
